user_id,item_list
1,101 36 403 506 123 515 694 254 592 1546
2,1095 47 28 50 12 11 1522 54 656 102
3,59 239 857 1281 2172 375 970 648 2748 750
4,28 249 50 254 314 139 639 171 146 136
5,1570 77 131 5138 170 471 270 7033 766 59
6,886 9 35 88 104 168 874 395 141 56
8,210 443 722 600 451 480 3916 80 1130 366
9,9018 2821 17799 10108 6415 4802 20151 2282 21322 316
10,1446 1816 561 1668 2617 2423 2565 1767 3905 3721
11,40 31 58 955 67 188 93 514 34 99
12,2582 4704 329 2242 325 408 1328 1090 2781 212
13,1316 2403 11016 10234 11747 11048 9817 11174 9813 1875
14,1050 297 90 1244 164 263 2909 345 571 2671
15,236 6957 308 1107 388 707 13250 983 653 89
16,7 29 617 9752 946 1463 3198 1692 54 10226
17,19 43 80 11 50 44 98 47 17 57
18,332 255 179 766 192 596 973 1099 3226 580
19,3571 252 764 154 636 9442 8473 8044 9482 236
20,467 313 376 573 129 242 134 279 764 192
21,152 405 1111 786 873 189 2 528 14140 7987
23,1279 2295 754 1290 236 308 3351 82 983 89
24,4937 18934 2247 13156 22124 13803 6326 19360 3852 7562
25,1309 107 485 551 574 555 6105 1873 1088 4358
26,254 269 41 139 15 612 1256 1005 34 1071
28,47 11 325 41 39 19 133 146 55 37
29,28 627 1555 77 60 681 516 43 4688 98
30,17058 23 17056 57 15355 160 259 1259 71 98
32,379 1393 2316 2734 1986 18 2418 418 1946 30
33,1510 435 4904 264 11199 8 1807 1631 571 205
34,888 434 812 1159 8930 567 10001 121 3602 3190
35,254 314 146 139 3847 165 1079 4593 474 1939
36,181 16 103 2205 183 4 202 1578 379 283
38,11 101 161 28 710 403 4360 1906 287 354
39,1057 36 8 101 165 281 304 378 13 1
40,31 58 19 17 76 174 47 3 42 201
41,31 58 55 77 592 66 618 60 148 175
42,1310 5744 249 252 1369 329 308 132 299 293
43,238 149 15 36 372 21 1369 104 168 135
44,133 215 499 267 146 350 843 197 457 439
45,202 15 101 21 36 413 4030 3177 1230 1206
46,2253 4116 4126 228 1505 322 394 74 22 1218
47,96 38 214 211 344 442 1635 232 85 154
48,28 332 17 296 47 27 7 42 1337 145
49,116 32 182 138 96 344 148 5 45 214
50,67 177 481 199 748 278 634 238 143 235
51,238 428 625 42 11 28 919 678 50 4
52,94 438 178 498 146 2986 1120 1395 3049 133
53,3687 859 3970 6472 720 7075 6471 18028 4819 6273
54,19 2 238 174 278 8 157 769 112 135
55,5255 6617 6095 6941 12798 13878 6093 10578 7290 18909
56,99 384 1198 831 1342 106 2531 116 60 933
57,160 536 648 956 159 186 117 582 399 104
58,2404 101 3945 36 433 693 582 1546 308 161
59,4462 612 261 93 5051 353 5821 4900 415 1190
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,85 278 291 238 106 583 67 3059 904 950
63,1316 1668 624 3011 978 4042 4833 1051 34 80
64,41 36 5 379 524 7128 3438 5360 6260 3124
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,181 739 111 6203 122 23 1619 244 3059 2084
68,281 96 138 324 344 546 1151 743 1994 178
69,25 14 16 22 1372 371 1227 1471 33 95
70,67 413 614 135 631 177 301 74 2 33
72,7169 9653 7454 8620 41 39 10910 10901 58 76
73,125 516 21 998 1728 580 2660 332 10057 1112
74,11 27 47 42 388 145 197 1897 37 1931
75,56 19 184 9 702 1028 124 319 80 258
76,31 77 40 66 55 1124 2401 11626 1532 76
77,7 1903 722 771 285 216 4110 600 2217 443
78,546 281 155 14083 751 7212 939 63 27 42
79,138 208 344 1070 146 254 66 85 746 318
81,22 7600 2599 8 77 9404 664 66 705 135
82,55 76 49 3 181 33 4 23 65 542
83,1083 1214 1288 117 486 5 2237 837 805 624
84,583 411 41 31 39 905 1497 1537 76 141
85,41 31 39 60 116 909 17 405 458 42
86,154 28 17 11 27 47 786 298 398 42
88,346 99 1222 1089 11531 133 2725 254 139 60
89,138 154 324 12673 433 344 59 186 12677 15015
90,21 144 104 64 56 98 35 13 9 184
91,90 104 168 258 82 915 1406 184 884 240
92,2988 9622 21223 14083 147 471 140 1225 21868 18944
93,95 220 1024 768 17 28 50 1044 27 537
94,28 11 42 51 498 1020 6 107 74 21
95,482 44 2456 2178 1842 16 2933 18638 4 2447
96,72 766 1264 617 1346 483 601 118 199 33
97,654 910 1673 1777 7604 923 563 2364 2114 125
98,7839 8688 11765 13600 13494 7590 21 17162 29 2115
99,96 138 64 57 511 204 356 877 527 117
100,313 764 99 636 1050 11 63 17 50 851
101,82 2314 837 754 624 1177 282 828 1290 978
102,7055 5724 2904 67 2284 2843 2958 3208 2283 2147
103,694 1481 901 98 13 43 155 751 11 97
104,119 299 252 23 639 1146 89 71 2 112
105,19078 8752 6820 18668 21 190 885 141 196 1478
107,39 55 313 467 376 3 51 430 573 764
108,32 147 689 182 208 94 34 585 324 298
109,131 745 1975 1868 114 205 124 806 2358 564
110,58 428 76 82 625 2416 770 755 1155 210
111,59 95 648 536 371 584 35 802 170 220
112,2603 3692 365 498 105 264 403 690 871 977
113,104 168 9 56 184 372 1391 224 149 913
114,5 17 575 50 27 293 186 5427 582 7236
115,1511 121 44 1220 2700 6374 1040 2436 3916 11296
116,15 101 161 354 403 506 49 110 699 544
117,88 72 339 217 798 87 806 1010 18 1927
118,7 112 298 4031 791 84 5052 85 295 21
119,102 179 1433 596 7 813 300 267 416 3154
121,2729 2886 3659 2575 1971 4976 3134 4807 6468 3586
122,28 3659 3134 17 40 111 27 347 4051 182
123,33 8 65 73 4 103 16 330 663 266
