user_id,item_list
1,101 36 15 123 314 403 515 694 592 1422
2,1095 47 50 196 11 28 12 1522 656 949
3,59 511 239 1281 857 970 1185 648 4252 2172
4,11 28 50 249 252 1313 254 146 612 639
5,77 72 170 1220 471 131 3063 1570 2641 8260
6,886 9 35 88 874 168 104 450 56 141
8,210 480 451 3916 1094 80 4 591 322 771
9,10108 3646 350 180 5724 20079 2350 993 13038 3071
10,1816 561 1411 1674 3905 1446 1668 3721 2386 67
11,40 31 58 627 67 188 514 1635 520 93
12,4704 2582 329 1090 4719 1845 261 353 2242 325
13,1316 1446 809 2403 11174 2198 1875 39 8294 41
14,1050 571 202 1817 28 17 297 2909 271 345
15,236 308 1107 6957 707 220 89 7926 837 983
16,7 9752 617 1569 946 3198 8693 1346 1710 14375
17,19 80 43 98 44 57 157 16 4 198
18,332 255 179 766 284 1112 1397 3967 192 617
19,467 376 252 764 5903 8044 3571 636 9442 236
20,467 573 313 242 129 376 279 134 267 636
21,12 786 528 152 189 150 164 24 442 92
23,1279 2295 754 282 82 1290 236 308 1370 983
24,3021 596 179 1076 1942 8432 5899 284 675 1016
25,51 758 18088 183 574 368 290 1258 4235 766
26,318 254 252 353 1089 1788 269 1256 966 612
28,27 47 11 50 39 325 41 55 58 139
29,28 627 17 77 494 60 43 681 175 1555
30,23 57 17056 15355 160 259 9749 7991 5418 12192
32,379 1393 418 1161 12332 1609 655 121 30 12
33,435 1510 264 496 8 1415 11199 1631 4904 571
34,888 10215 6219 2221 8934 2359 87 22346 6436 12796
35,133 1939 4593 139 254 3847 146 1079 318 996
36,16 379 569 202 1578 1147 254 3870 1393 490
38,108 11 4360 28 101 287 7 99 1022 2
39,77 15 101 8 1057 108 304 378 281 254
40,31 17 58 76 19 47 174 201 2546 80
41,31 55 58 618 592 605 1083 1108 1288 1214
42,1310 5744 1369 249 829 252 11671 293 3325 299
43,149 21 168 238 372 366 184 144 104 2996
44,499 457 267 197 171 350 843 325 16540 2954
45,202 101 15 36 3177 4030 95 5112 429 922
46,1505 360 2253 4126 4116 1218 228 394 1799 301
47,96 188 344 514 214 203 38 93 1635 645
48,28 17 332 47 27 7 3282 296 3278 5102
49,66 116 148 214 5 45 10 304 746 499
50,177 67 481 748 634 404 143 53 235 2282
51,428 238 625 8 678 11 27 1930 919 50
52,94 438 178 99 2177 1676 133 146 498 7926
53,6472 859 3970 720 18028 6471 7516 4819 6273 9043
54,19 238 174 2 278 8 157 112 48 22
55,13878 18909 3103 15274 733 1255 956 3917 1474 2773
56,99 384 1198 66 831 106 116 60 715 2531
57,160 648 159 536 956 186 104 117 399 582
58,101 2367 2404 7867 3945 433 36 582 693 699
59,4462 4352 353 1190 5051 1 93 612 4900 214
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,291 85 238 411 583 67 278 3059 106 154
63,1316 1668 809 34 94 4559 4833 3011 4042 80
64,41 7128 76 5360 534 36 71 379 6260 5564
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,739 1145 6203 181 23 13 2 243 201 871
68,716 138 96 281 324 344 598 1994 743 546
69,25 16 14 22 1372 1244 90 95 1095 1227
70,213 72 67 631 301 5433 4361 654 1 413
72,9653 7454 7169 7170 8620 39 10901 41 10865 58
73,21 516 2660 9114 114 1300 13684 10057 18163 21560
74,11 50 27 47 388 815 391 42 1897 261
75,56 184 9 45 301 803 450 1028 20871 19
76,31 40 77 55 66 343 526 76 2637 1716
77,771 600 216 4110 155 578 177 1105 778 682
78,199 9404 546 281 939 88 535 1625 1152 7212
79,138 32 2085 66 2025 77 208 318 21 85
81,2599 705 664 3541 175 164 66 77 60 8
82,55 76 49 3 33 181 23 1341 4 876
83,342 1108 117 5 1083 1214 805 1288 2237 486
84,583 411 905 1497 540 2243 66 116 897 141
85,1674 116 39 66 31 41 1668 1618 60 76
86,28 17 11 27 47 786 290 3132 7551 2861
88,346 1222 318 139 133 1089 34 99 11531 1338
89,138 324 10 344 15015 15014 12673 160 18468 18467
90,144 56 104 64 13 98 184 35 21 9
91,90 1 104 82 915 884 1406 1438 35 184
92,32 1346 21223 14083 471 1225 396 9622 7611 9404
93,95 220 326 768 1024 17 28 1044 226 496
94,28 11 42 51 6 498 74 2259 1020 131
95,482 44 567 1842 669 18638 173 4480 12504 10884
96,766 617 1346 15330 9056 11462 12786 14331 14746 8368
97,654 7604 171 6616 24 5086 2364 132 16804 14153
98,8688 7839 11765 21 13494 13600 15980 17162 8346 29
99,57 138 32 96 64 344 511 21 750 877
100,313 764 636 94 1050 99 851 11 50 43
101,1440 754 837 82 2314 624 1177 1051 1290 137
102,34 2843 2284 2283 2766 6198 2492 1195 7056 2958
103,901 43 13 98 155 694 1422 97 17 1481
104,119 299 252 23 1146 639 89 1273 4 2
105,6804 141 9257 12791 2890 4622 474 388 1478 1169
107,39 55 58 467 313 376 430 51 764 573
108,32 585 689 182 208 94 2013 147 344 34
109,2447 1975 124 395 131 49 806 2358 2164 745
110,55 58 428 76 625 2416 82 755 983 496
111,59 95 648 584 414 536 802 35 193 220
112,2603 365 498 3692 264 105 690 403 544 101
113,104 9 168 56 224 184 149 1391 120 117
114,5 17 50 575 27 1564 3 102 186 6593
115,1511 44 1829 316 7 12377 4 14418 12412 8394
116,15 101 354 22253 9422 19958 21001 18048 16289 4171
117,88 72 1927 339 87 217 798 806 1010 4894
118,7 85 298 4031 21 791 508 2373 13914 2875
119,102 1433 179 596 7 813 416 125 267 300
121,3335 3134 2886 4049 1971 3867 2729 3659 5952 4698
122,3134 28 17 3659 27 5298 226 1123 936 1611
123,8 103 16 256 2588 424 178 4964 952 7956
124,346 8112 9878 859 2163 1704 10818 11524 5985 257
126,8755 6026 766 5585 7522 6027 617 428 625 79
127,618 39 40 41 828 55 624 76 2233 11
128,42 11 28 50 814 9266 999 239 2512 6553
129,1041 585 40 147 31 199 58 1542 533 76
130,736 831 593 116 77 148 207 2446 175 766
131,13 31 41 6967 55 117 8912 159 913 510
132,133 474 325 335 843 1754 589 554 3271 316
134,399 186 22 95 56 80 122 2 4 201
135,446 15 132 891 763 22 103 2 566 16154
136,9766 8740 8683 410 11705 10912 18930 4760 2088 265
137,19 1 129 467 313 275 188 157 430 93
138,28 11 117 1670 50 120 413 130 159 500
139,31 56 58 76 228 144 22 1 3 722
140,25 16 28 11 37 44 215 50 351 21940
141,978 624 1440 5 2149 111 657 39 31 40
142,34 264 94 202 883 154 1161 10036 1714 96
143,1573 2724 11 33 28 70 5371 2534 871 5569
144,35 133 9 144 254 318 269 165 168 3299
145,56 16 35 144 1 122 8 184 244 63
146,85 51 514 93 38 358 603 1450 680 520
147,2 44 80 71 157 91 174 16 48 13
148,1817 256 1442 669 632 930 4806 1666 4344 19958
149,122 16450 113 111 11565 727 85 16527 2 244
151,281 326 191 716 621 1067 997 1405 2610 352
152,45 159 220 389 886 85 320 326 154 906
153,17 27 42 145 37 136 363 338 730 10530
154,58 55 76 546 1083 1288 1214 1058 80 634
156,28 11 42 569 451 578 12 19 97 6
157,7027 6178 17896 6197 17904 17897 17895 17889 859 17894
158,19 250 1 35 33 95 6640 203 103 157
160,1470 22 73 2503 327 815 156 762 1330 181
163,44 5 1098 71 89 343 3259 2802 352 716
164,2599 552 44 4 61 4483 16 268 3281 8874
165,3537 385 555 6309 392 3870 3476 5542 1210 99
167,33 22 48 319 558 103 35 56 149 807
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
171,136 433 13 133 145 47 28 11 399 37
172,40 39 41 58 102 76 35 425 416 979
173,320 1041 94 689 585 34 2013 203 308 1
174,154 298 21 4031 1934 508 4166 2594 9935 14
175,8 390 638 61 82 7 827 305 330 884
177,28 27 50 220 136 80 431 567 4508 389
178,7 128 680 101 23 112 19834 44 81 248
181,1304 1321 512 1019 1932 56 2255 1464 1899 3602
182,11 27 28 42 136 145 37 277 730 12133
183,16596 3464 480 208 3972 2751 16595 3779 2015 10463
184,47 27 50 220 42 326 1 49 389 35
185,901 1737 2326 22 1706 3872 11404 2256 474 960
187,17 399 28 11 201 45 133 244 253 139
188,2791 3537 4485 4901 94 3407 808 34 2702 1032
189,94 3082 738 1198 4057 5332 5337 4839 540 2963
191,2963 627 34 262 4889 4336 3 738 1172 4953
192,154 1057 1352 3372 7900 446 22 105 831 73
193,33 2053 10 4371 22 4467 3976 123 1763 49
