user_id,item_list
1,101 1269 36 112 1697 2012 623 2938 69 773
2,1095 84 2 8 54 296 69 3 37 121
3,6834 1442 2033 803 8964 1104 572 1122 578 564
4,17 28 1 835 296 6 8 57 127 10
5,413 525 256 15 1117 1251 1009 192 391 51
6,25 1559 2090 108 2309 15 14 2 226 105
8,1384 3366 33 1683 619 3605 2 691 125 4035
9,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
10,1446 1668 2 1767 4267 152 561 74 1286 61
11,99 31 58 34 40 52 645 214 29 9
12,171 139 474 392 43 563 40 350 269 325
13,4217 8209 11016 1875 11174 367 53 3613 10234 9712
14,3828 1275 256 2709 791 2368 207 9674 113 3641
15,23 5 19 191 22223 2101 410 139 13042 1763
16,2350 3182 2705 713 390 2042 451 50 2 1000
17,372 666 4213 21428 162 997 2718 2879 1058 2371
18,189 12943 2876 292 7334 339 1346 14486 1998 1321
19,252 764 636 3 12 2 34 10 7 161
20,55 442 9820 9299 1248 3074 227 6353 11890 1226
21,458 3362 152 2341 1810 1225 808 313 67 69
23,1279 1990 102 2295 5362 2 10 7 33 143
24,3279 131 431 6853 15801 21332 2713 18473 8432 3710
25,4 1309 17989 4069 15097 8482 10011 156 774 14903
26,139 292 408 1005 1090 254 474 146 563 1089
28,11 47 1 9 19 37 5 20 33 45
29,20222 244 7960 20221 13656 752 2039 1764 14012 22272
30,3343 8285 383 157 91 5800 568 3308 5585 840
32,615 4065 20821 1283 387 360 788 1403 11962 1325
33,2560 264 19175 1205 14996 979 3464 4127 7623 20832
34,19528 5886 8917 15993 2221 16735 3816 22179 5123 10930
35,23 1446 316 809 1362 15810 79 314 17269 1513
36,4 2 6 3 107 14 74 15 131 10
38,34 180 237 151 763 315 2586 863 9697 737
39,4 304 36 378 269 625 16 3 49 83
40,31 11 3 17 58 33 30 1 29 9
41,55 31 58 362 102 119 5 61 32 342
42,236 13491 48 77 1056 125 9357 10335 296 82
43,528 1 1376 21 229 164 759 608 51 3324
44,7 271 12752 472 7263 4354 4735 30 2270 2625
45,51 34 94 3812 11790 5550 3523 9799 266 7633
46,483 5252 5543 2602 14559 119 140 772 6011 877
47,214 38 34 211 3 232 85 230 1296 7
48,9172 4283 332 488 3967 5735 186 536 1602 1879
49,182 309 45 593 138 44 20 97 1513 29
50,4991 1299 352 1764 4198 4537 1221 18770 462 199
51,2 250 278 200 25 4 9 7 238 266
52,10356 675 690 1250 13101 13254 5481 5697 256 12416
53,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
54,674 135 460 88 199 300 118 2155 1782 874
55,847 40 6286 14903 14900 14901 14898 14902 14905 14904
56,981 7 167 34 545 90 797 1896 99 4
57,450 56 361 288 319 2 2730 234 4967 46
58,19 3945 411 338 18 303 174 1871 259 567
59,7 353 461 612 1529 327 347 3 637 699
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,46 1397 37 1001 9067 5887 2621 2462 5026 52
63,1668 1316 126 61 218 82 103 236 80 89
64,41 28 379 7 2 11 3 5 1962 550
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,7 256 117 68 739 332 290 18 457 6
68,88 264 6 546 81 1 743 2413 9 1365
69,3955 10636 18 145 1251 12067 79 172 16 402
70,4 1 177 2 44 26 7 172 19 25
72,9653 9103 8620 7170 7454 7168 10910 9654 1848 7169
73,15781 19627 487 894 3828 125 7330 1811 16042 121
74,815 795 551 165 43 457 1591 1993 994 1719
75,14 2 1 19 9 7 56 258 11 65
76,390 805 547 5 1177 308 754 1143 556 837
77,192 162 67 128 15 6 336 89 1048 432
78,6 336 10 29 54 121 259 155 130 487
79,7 21 138 517 130 458 85 298 2341 109
81,1873 3056 6551 1780 190 3514 9938 15234 1928 2441
82,342 592 3 6252 582 5554 1288 1214 8225 1626
83,1083 1288 76 9 1214 837 978 624 56 1493
84,7 31 411 2 6 1497 58 2243 1991 41
85,1316 148 22 60 1 116 9 41 100 644
86,2101 499 770 1398 1213 755 1856 231 1863 5099
88,99 1 346 2036 139 211 3088 2286 316 5186
89,59 138 166 10 414 344 259 324 87 112
90,327 1335 6075 15651 9009 522 2299 251 3435 729
91,36 7 16 187 520 217 64 763 87 105
92,14896 14894 14903 14902 14901 14900 14899 14898 14897 14905
93,5 4 285 6 1 20 1842 1903 78 1007
94,177 2 64 28 285 53 179 297 51 364
95,273 789 5344 131 105 284 596 15603 394 875
96,1346 89 4692 1463 38 1321 682 16776 831 336
97,5606 5588 1699 18638 753 3692 2605 788 19378 998
98,474 431 2673 251 1340 124 121 15245 212 853
99,198 64 2 204 96 21 995 3 138 196
100,129 313 3 7 764 1030 1406 176 192 566
101,282 837 82 754 1207 828 624 1477 2314 2946
102,2843 2904 1795 2284 2585 15 2958 2288 3361 2283
103,180 202 8 235 96 105 106 107 6368 5293
104,438 598 519 1485 2178 1059 12 176 380 108
105,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
107,39 6 31 1 7 4 16 2 45 81
108,298 1041 94 7 81 77 79 88 187 232
109,1838 26 3221 9457 3747 4620 311 3001 5120 791
110,76 82 58 375 390 124 26 624 4 31
111,172 1138 43 15 8399 141 2911 575 899 1199
112,2603 741 20 217 4 2239 11614 17267 2381 16161
